"","UMAP1","UMAP2","Group"
"LNEN152_TU",-8.68128341981479,-2.26489387484502,"lung NETs Ca A2"
"LNEN153_TU6",-2.18325438414161,2.34673459621972,"lung NETs Ca B"
"LNEN154_TU3",-8.90253587052076,-2.10252738167575,"lung NETs Ca A2"
"LNEN155_TU7",-9.59406742623244,-1.76048189660655,"lung NETs Ca A2"
"LNEN156_TU",0.437099410118945,11.65531552484,"lung NETs Ca A1"
"LNEN157_TU2",0.609765677015604,12.2901597089145,"lung NETs Ca A1"
"LNEN159_TU2",-2.32300921982079,3.54697564615501,"lung NETs Ca B"
"LNEN161_TU",-9.16536449393998,-2.05106061645298,"lung NETs Ca A2"
"LNEN162_TU",0.288404379308094,11.8710835747473,"lung NETs Ca A1"
"LNEN163_TU",-8.74759050957152,-2.19765512456364,"lung NETs Ca A2"
"LNEN164_TU2",-2.21607259645548,3.10330068402404,"lung NETs Ca B"
"LNEN165_TU2",-9.60921137714574,-1.68702915771702,"lung NETs Ca A2"
"LNEN166_TU2",-9.15414188221273,-1.96669343878579,"lung NETs Ca A2"
"LNEN167_TU2",-2.08336130967524,2.03441523268528,"lung NETs Ca B"
"LNEN168_TU1",-9.67534859918507,-1.77760722545773,"lung NETs Ca A2"
"LNEN169_TU1",0.827099212921193,11.6680156888008,"lung NETs Ca A1"
"LNEN170_TU4",-2.42719627353254,4.13888988587231,"lung NETs Ca B"
"LNEN171_TU1_R1",0.9234842464519,12.074004498503,"lung NETs Ca A1"
"LNEN173_TU",-10.2282032897673,-2.70143151267044,"lung NETs Ca A2"
"LNEN175_TU",0.293370349033314,12.2437998165753,"lung NETs Ca A1"
"LNEN176_TU",0.427013844845437,11.8410929262771,"lung NETs Ca A1"
"LNEN177_TU",-9.68572803156291,-1.70423697771576,"lung NETs Ca A2"
"LNEN178_TU",-0.0639342590139145,10.4478299690281,"lung NETs Ca A1"
"LNEN179_TU",1.00653030289252,10.7115764478562,"lung NETs Ca A1"
"LNEN180_TU",2.39248946001419,1.53835825114807,"lung NETs supra-carcinoids"
"LNEN181_TU",0.779110249966977,12.1840807614098,"lung NETs Ca A1"
"LNEN182_TU",0.374620829285852,10.4580244494893,"lung NETs Ca A1"
"LNEN183_TU",-2.15982002419745,3.16027479694836,"lung NETs Ca B"
"LNEN184_TU",-8.9579295293474,-1.95031681465157,"lung NETs Ca A2"
"LNEN185_TU",-1.98202643098517,1.98914937243218,"lung NETs Ca B"
"LNEN187_TU",-8.72976265097501,-2.31434151794257,"lung NETs Ca A2"
"LNEN190_TU",-0.196756791756566,10.4574665897915,"lung NETs Ca A1"
"LNEN191_TU",-9.54216584010928,-1.89081071054918,"lung NETs Ca A2"
"LNEN192_TU",0.455440290842189,10.6992071555356,"lung NETs Ca A1"
"LNEN193_TU",1.02969722793561,11.7668793549114,"lung NETs Ca A1"
"LNEN194_TU",-1.99633544633933,2.09576214004682,"lung NETs Ca B"
"LNEN195_TU",0.621399135388808,10.5852196237346,"lung NETs Ca A1"
"LNEN196_TU",0.607315338818822,10.9338987419927,"lung NETs Ca A1"
"LNEN197_TU",0.271058668931995,10.5104368001453,"lung NETs Ca A1"
"LNEN198_TU",0.680259110360073,10.9503008509081,"lung NETs Ca A1"
"LNEN199_TU",-9.23645872454461,-1.97723417065685,"lung NETs Ca A2"
"LNEN201_TU",0.528466540650645,10.9099835948725,"lung NETs Ca A1"
"LNEN202_TU",-9.35400587419364,-2.14508602137327,"lung NETs Ca A2"
