Smoking_status	group	name	mle	cilow	cihigh
Ever smoker	All	wall	1.1137149899729166	0.9377074104953986	1.3227591730719934
Never smoker	All	wall	1.0345456236039476	0.8487205074401404	1.2610566587417678
Ever smoker	Ca A1	wall	1.1147624523612218	0.9049355374540737	1.3732418208379549
Never smoker	Ca A1	wall	0.923696612787502	0.7421311397549082	1.1496828347034223
Ever smoker	Ca A2	wall	0.8470284040196672	0.5860657727354435	1.224192148037235
Never smoker	Ca A2	wall	1.005867609125743	0.7103889779865579	1.4242473890233747
Ever smoker	Ca B	wall	1.6505413114127345	1.1801794621668469	2.308366403596105
Never smoker	Ca B	wall	1.3675234698266383	0.9572897270710519	1.9535574107209495
Ever smoker	sc-enriched	wall	0.3138731400520018	0.1166881635302984	0.8442702761409343
Never smoker	sc-enriched	wall	1.157758328368363	0.752559185430454	1.7811281462727913
Ever smoker	Typical	wall	1.1097879248674174	0.8699476744158128	1.4157509404328161
Never smoker	Typical	wall	1.2692636685335366	0.8426741873137463	1.9118068222723301
Ever smoker	Atypical	wall	1.2095758869084494	0.8345514215147256	1.753126036901186
Never smoker	Atypical	wall	1.0589693457658553	0.8311678030570696	1.3492053844568435
